nama_kabupaten_kota,periode_update,kategori,jumlah,satuan,jumlah_missing_awal
KABUPATEN BANGKALAN,2020-01-01,BERAS MEDIUM,8869,RP/KG,0
KABUPATEN BANGKALAN,2020-02-01,BERAS MEDIUM,8375,RP/KG,0
KABUPATEN BANGKALAN,2020-03-01,BERAS MEDIUM,8275,RP/KG,0
KABUPATEN BANGKALAN,2020-04-01,BERAS MEDIUM,8000,RP/KG,0
KABUPATEN BANGKALAN,2020-05-01,BERAS MEDIUM,8350,RP/KG,0
KABUPATEN BANGKALAN,2020-06-01,BERAS MEDIUM,8500,RP/KG,0
KABUPATEN BANGKALAN,2020-07-01,BERAS MEDIUM,8613,RP/KG,0
KABUPATEN BANGKALAN,2020-08-01,BERAS MEDIUM,8688,RP/KG,0
KABUPATEN BANGKALAN,2020-09-01,BERAS MEDIUM,8656,RP/KG,0
KABUPATEN BANGKALAN,2020-10-01,BERAS MEDIUM,10750,RP/KG,0
KABUPATEN BANGKALAN,2020-11-01,BERAS MEDIUM,8963,RP/KG,0
KABUPATEN BANGKALAN,2020-12-01,BERAS MEDIUM,9000,RP/KG,0
KABUPATEN BANGKALAN,2021-01-01,BERAS MEDIUM,9000,RP/KG,0
KABUPATEN BANGKALAN,2021-02-01,BERAS MEDIUM,9000,RP/KG,0
KABUPATEN BANGKALAN,2021-03-01,BERAS MEDIUM,8350,RP/KG,0
KABUPATEN BANGKALAN,2021-04-01,BERAS MEDIUM,8000,RP/KG,0
KABUPATEN BANGKALAN,2021-05-01,BERAS MEDIUM,8000,RP/KG,0
KABUPATEN BANGKALAN,2021-06-01,BERAS MEDIUM,8377,RP/KG,0
KABUPATEN BANGKALAN,2021-07-01,BERAS MEDIUM,8300,RP/KG,0
KABUPATEN BANGKALAN,2021-08-01,BERAS MEDIUM,8300,RP/KG,0
KABUPATEN BANGKALAN,2021-09-01,BERAS MEDIUM,7927,RP/KG,0
KABUPATEN BANGKALAN,2021-10-01,BERAS MEDIUM,8300,RP/KG,0
KABUPATEN BANGKALAN,2021-11-01,BERAS MEDIUM,8329,RP/KG,0
KABUPATEN BANGKALAN,2021-12-01,BERAS MEDIUM,8500,RP/KG,0
KABUPATEN BANGKALAN,2022-01-01,BERAS MEDIUM,8500,RP/KG,0
KABUPATEN BANGKALAN,2022-02-01,BERAS MEDIUM,8500,RP/KG,0
KABUPATEN BANGKALAN,2022-03-01,BERAS MEDIUM,8500,RP/KG,0
KABUPATEN BANGKALAN,2022-04-01,BERAS MEDIUM,8281,RP/KG,0
KABUPATEN BANGKALAN,2022-05-01,BERAS MEDIUM,8000,RP/KG,0
KABUPATEN BANGKALAN,2022-06-01,BERAS MEDIUM,7589,RP/KG,0
KABUPATEN BANGKALAN,2022-07-01,BERAS MEDIUM,7500,RP/KG,0
KABUPATEN BANGKALAN,2022-08-01,BERAS MEDIUM,7500,RP/KG,0
KABUPATEN BANGKALAN,2022-09-01,BERAS MEDIUM,8345,RP/KG,0
KABUPATEN BANGKALAN,2022-10-01,BERAS MEDIUM,9425,RP/KG,0
KABUPATEN BANGKALAN,2022-11-01,BERAS MEDIUM,9500,RP/KG,0
KABUPATEN BANGKALAN,2022-12-01,BERAS MEDIUM,9969,RP/KG,0
KABUPATEN BANGKALAN,2023-01-01,BERAS MEDIUM,9966,RP/KG,0
KABUPATEN BANGKALAN,2023-02-01,BERAS MEDIUM,10647,RP/KG,0
KABUPATEN BANGKALAN,2023-03-01,BERAS MEDIUM,10138,RP/KG,0
KABUPATEN BANGKALAN,2023-04-01,BERAS MEDIUM,10688,RP/KG,0
KABUPATEN BANGKALAN,2023-05-01,BERAS MEDIUM,10738,RP/KG,0
KABUPATEN BANGKALAN,2023-06-01,BERAS MEDIUM,10280,RP/KG,0
KABUPATEN BANGKALAN,2023-07-01,BERAS MEDIUM,10275,RP/KG,0
KABUPATEN BANGKALAN,2023-08-01,BERAS MEDIUM,10545,RP/KG,0
KABUPATEN BANGKALAN,2023-09-01,BERAS MEDIUM,11974,RP/KG,0
KABUPATEN BANGKALAN,2023-10-01,BERAS MEDIUM,12450,RP/KG,0
KABUPATEN BANGKALAN,2023-11-01,BERAS MEDIUM,12750,RP/KG,0
KABUPATEN BANGKALAN,2023-12-01,BERAS MEDIUM,12750,RP/KG,0
KABUPATEN BANGKALAN,2024-01-01,BERAS MEDIUM,12768,RP/KG,0
KABUPATEN BANGKALAN,2024-02-01,BERAS MEDIUM,13421,RP/KG,0
KABUPATEN BANGKALAN,2024-03-01,BERAS MEDIUM,13583,RP/KG,0
KABUPATEN BANGKALAN,2024-04-01,BERAS MEDIUM,11750,RP/KG,0
KABUPATEN BANGKALAN,2024-05-01,BERAS MEDIUM,11375,RP/KG,0
KABUPATEN BANGKALAN,2024-06-01,BERAS MEDIUM,11833,RP/KG,0
KABUPATEN BANGKALAN,2024-07-01,BERAS MEDIUM,12163,RP/KG,0
KABUPATEN BANGKALAN,2024-08-01,BERAS MEDIUM,12438,RP/KG,0
KABUPATEN BANGKALAN,2024-09-01,BERAS MEDIUM,12500,RP/KG,0
KABUPATEN BANGKALAN,2024-10-01,BERAS MEDIUM,12660,RP/KG,0
KABUPATEN BANGKALAN,2024-11-01,BERAS MEDIUM,12700,RP/KG,0
KABUPATEN BANGKALAN,2024-12-01,BERAS MEDIUM,12700,RP/KG,0
KABUPATEN BANGKALAN,2025-01-01,BERAS MEDIUM,12570,RP/KG,0
KABUPATEN BANGKALAN,2025-02-01,BERAS MEDIUM,12344,RP/KG,0
KABUPATEN BANGKALAN,2025-03-01,BERAS MEDIUM,12107,RP/KG,0
KABUPATEN BANGKALAN,2025-04-01,BERAS MEDIUM,12000,RP/KG,0
KABUPATEN BANGKALAN,2025-05-01,BERAS MEDIUM,11893,RP/KG,0
KABUPATEN BANGKALAN,2025-06-01,BERAS MEDIUM,11869,RP/KG,0
KABUPATEN BANGKALAN,2025-07-01,BERAS MEDIUM,12230,RP/KG,0
KABUPATEN BANGKALAN,2020-01-01,BERAS PREMIUM,10464,RP/KG,0
KABUPATEN BANGKALAN,2020-02-01,BERAS PREMIUM,10150,RP/KG,0
KABUPATEN BANGKALAN,2020-03-01,BERAS PREMIUM,10500,RP/KG,0
KABUPATEN BANGKALAN,2020-04-01,BERAS PREMIUM,10500,RP/KG,0
KABUPATEN BANGKALAN,2020-05-01,BERAS PREMIUM,10500,RP/KG,0
KABUPATEN BANGKALAN,2020-06-01,BERAS PREMIUM,10536,RP/KG,0
KABUPATEN BANGKALAN,2020-07-01,BERAS PREMIUM,10750,RP/KG,0
KABUPATEN BANGKALAN,2020-08-01,BERAS PREMIUM,10750,RP/KG,0
KABUPATEN BANGKALAN,2020-09-01,BERAS PREMIUM,10750,RP/KG,0
KABUPATEN BANGKALAN,2020-10-01,BERAS PREMIUM,10750,RP/KG,0
KABUPATEN BANGKALAN,2020-11-01,BERAS PREMIUM,10750,RP/KG,0
KABUPATEN BANGKALAN,2020-12-01,BERAS PREMIUM,10750,RP/KG,0
KABUPATEN BANGKALAN,2021-01-01,BERAS PREMIUM,10750,RP/KG,0
KABUPATEN BANGKALAN,2021-02-01,BERAS PREMIUM,10750,RP/KG,0
KABUPATEN BANGKALAN,2021-03-01,BERAS PREMIUM,10750,RP/KG,0
KABUPATEN BANGKALAN,2021-04-01,BERAS PREMIUM,10750,RP/KG,0
KABUPATEN BANGKALAN,2021-05-01,BERAS PREMIUM,10750,RP/KG,0
KABUPATEN BANGKALAN,2021-06-01,BERAS PREMIUM,10757,RP/KG,0
KABUPATEN BANGKALAN,2021-07-01,BERAS PREMIUM,10800,RP/KG,0
KABUPATEN BANGKALAN,2021-08-01,BERAS PREMIUM,10800,RP/KG,0
KABUPATEN BANGKALAN,2021-09-01,BERAS PREMIUM,10800,RP/KG,0
KABUPATEN BANGKALAN,2021-10-01,BERAS PREMIUM,10800,RP/KG,0
KABUPATEN BANGKALAN,2021-11-01,BERAS PREMIUM,11500,RP/KG,0
KABUPATEN BANGKALAN,2021-12-01,BERAS PREMIUM,11500,RP/KG,0
KABUPATEN BANGKALAN,2022-01-01,BERAS PREMIUM,11458,RP/KG,0
KABUPATEN BANGKALAN,2022-02-01,BERAS PREMIUM,11000,RP/KG,0
